NORAD_CAT_ID_1,OBJECT_NAME_1,NORAD_CAT_ID_2,OBJECT_NAME_2,MAX_PROB,DILUTION
45427,"ONEWEB-0090 [+]",45315,"SL-14 DEB [-]",0.000003148,0.639
51045,"FLOCK 4X-28 [+]",40221,"COSMOS 2251 DEB [-]",0.00000413,0.24
53652,"STARLINK-4374 [+]",33813,"COSMOS 2251 DEB [-]",0.0000117,0.651
55141,"ONEWEB-0533 [+]",3214,"SCOUT A DEB [-]",0.00005974,0.123
57485,"ARCADE [+]",28812,"SL-24 DEB [-]",0.000009725,0.188
43760,"ELYSIUM STAR 2 & LFF [+]",53175,"STARLINK-4292 [+]",0.000006617,0.601
57990,"YAOGAN-39 03C [+]",58013,"KUIPER-P2 [+]",0.0000004465,0.773
50201,"STARLINK-3255 [+]",4634,"COSMOS 375 DEB [-]",0.000008404,0.602
53451,"DONGPO 04 [+]",47423,"OBJECT L [-]",0.0000008537,0.553
46784,"STARLINK-1882 [+]",43781,"VESTA-1 [-]",0.00000805,0.803
32788,"AAUSAT-II [P]",52645,"STARLINK-3973 [+]",0.00003717,0.376
49401,"DRUMS [+]",53832,"STARLINK-4747 [+]",0.00001886,0.525
55339,"STARLINK-5671 [+]",14817,"SL-8 DEB [-]",0.000005418,0.726
48358,"STARLINK-2624 [+]",31445,"FENGYUN 1C DEB [-]",0.00004946,0.266
57644,"STARLINK-30247 [+]",39914,"PEGASUS DEB [-]",0.0000006379,0.813
44310,"BUFENG 1A [+]",46504,"NETSAT-4 [+]",0.0000008892,0.741
38734,"GONETS-M 3 [+]",21209,"SL-8 DEB [-]",0.0000009513,0.617
50201,"STARLINK-3255 [+]",52066,"COSMOS 1408 DEB [-]",0.000003771,0.812
43065,"GCOM-C (SHIKISAI) [+]",54911,"CZ-6A DEB [-]",0.000001212,0.474
53635,"STARLINK-4587 [+]",52066,"COSMOS 1408 DEB [-]",0.000009173,0.535
56153,"OBJECT A [+]",56154,"OBJECT B [+]",0.00004549,0.074
45053,"STARLINK-1155 [P]",43898,"OBJECT Y [-]",0.00002209,0.405
43908,"LUME 1 [+]",52173,"SHAKUNTALA [+]",0.0000009105,0.813
56910,"STARLINK-6179 [+]",57208,"SITRO-AIS 11 (SHEFFER) [+]",0.000000458,0.773
43855,"CHOMPTT [+]",44104,"AIS & APRS & ARIS & R/B [+]",0.0000008637,0.538
53976,"STARLINK-5134 [+]",57190,"NANOZOND 1 (RS49S) [+]",0.00001058,0.505
44519,"XIAOXIANG 1-07 [+]",53684,"STARLINK-4624 [+]",0.000009949,0.65
52268,"STARLINK-3746 [+]",13882,"SL-6 R/B(2) [-]",0.000009499,0.626
