NORAD_CAT_ID_1,OBJECT_NAME_1,NORAD_CAT_ID_2,OBJECT_NAME_2,CONJUCTION_COUNT
56154,"OBJECT B [+]",56156,"OBJECT D [+]",71
56153,"OBJECT A [+]",56154,"OBJECT B [+]",44
56201,"NUSAT-39 (TIKVAH ALPER) [+]",43103,"CZ-2D DEB [-]",40
56153,"OBJECT A [+]",56156,"OBJECT D [+]",38
43234,"O3B FM13 [+]",44113,"O3B FM19 [+]",35
54071,"STARLINK-5168 [+]",5189,"COSMOS 374 DEB [-]",25
53692,"STARLINK-4572 [+]",26178,"CZ-4B DEB [-]",20
48404,"STARLINK-2593 [+]",27153,"PSLV DEB [-]",19
43815,"FALCONSAT-6 [+]",52452,"STARLINK-3909 [+]",18
49393,"YAOGAN-35 C [+]",58141,"YAOGAN-39 04A [+]",18
46528,"FLOCK 4V-15 [+]",48894,"SPACEBEE-107 [+]",17
46556,"STARLINK-1676 [+]",46912,"KSM1-A [+]",16
56965,"DROID.001 [+]",14147,"COSMOS 1470 [?]",16
53542,"STARLINK-4489 [+]",47211,"RESURS O1 DEB [-]",15
41852,"AEROCUBE 8D [+]",57618,"STARLINK-30249 [+]",13
47796,"STARLINK-2373 [+]",270052,"UNKNOWN [-]",13
22826,"ITAMSAT (IO-26) [P]",39654,"COSMOS 1867 COOLANT [-]",13
56154,"OBJECT B [+]",56155,"OBJECT C [+]",13
56153,"OBJECT A [+]",56155,"OBJECT C [+]",12
57174,"OBJECT J [+]",57458,"STARLINK-30140 [+]",12
56155,"OBJECT C [+]",56156,"OBJECT D [+]",12
43034,"LKW-1 [+]",53526,"YAOGAN-35 04C [+]",12
47346,"GMS-T [+]",48988,"ONEWEB-0270 [+]",12
44413,"LEMUR-2-YNDRD [+]",49604,"COSMOS 1408 DEB [-]",11
25985,"ORBCOMM FM35 [+]",35459,"COSMOS 2251 DEB [-]",11
45659,"STARLINK-1442 [+]",42830,"OBJECT F [-]",11
51805,"STARLINK-3605 [+]",56747,"OBJECT E [+]",10
44499,"GLOBAL-4 [+]",46287,"AMICALSAT [+]",10
57177,"ZORKIY 2M [+]",52034,"MINOTAUR 4 DEB [-]",10
48438,"STARLINK-2640 [+]",34103,"IRIDIUM 33 DEB [-]",10
43569,"IRIDIUM 160 [+]",85023,"UNKNOWN [-]",10
43780,"MOVE-II [+]",48324,"STARLINK-2527 [+]",10
47346,"GMS-T [+]",48976,"ONEWEB-0258 [+]",10
47397,"STARLINK-2119 [+]",57190,"NANOZOND 1 (RS49S) [+]",9
57794,"TIANQI-23 [+]",40416,"DMSP 5D-2 F13 DEB [-]",9
40536,"KOMPSAT-3A [+]",57997,"STARLINK-30523 [+]",9
31113,"HAIYANG-1B [+]",13991,"COSMOS 1452 [?]",9
53928,"STARLINK-5009 [+]",57206,"OBJECT AS [+]",9
43657,"COSMOS 2528 [+]",58148,"COSMOS 2570 [+]",9
57172,"UMKA 1 (RS40S) [+]",57496,"STARLINK-30145 [+]",9
56954,"HOTSAT-1 [+]",16881,"COSMOS 1766 [?]",9
56984,"SPACEBEE-168 [+]",14147,"COSMOS 1470 [?]",9
57753,"STARLINK-30343 [+]",43781,"VESTA-1 [-]",9
38707,"KANOPUS-V 1 [+]",15944,"COSMOS 1674 [?]",8
40024,"NANOSATC-BR1 [+]",43679,"STARS-AO [+]",8
44966,"STARLINK-1088 [P]",55057,"FLOCK 4Y-35 [+]",8
36596,"SJ-12 [+]",56503,"STARLINK-5775 [+]",8
48914,"ICEYE-X12 [+]",57675,"STARLINK-30317 [+]",8
54103,"STARLINK-5200 [+]",57190,"NANOZOND 1 (RS49S) [+]",8
46533,"STARLINK-1648 [+]",56192,"ION SCV-010 [+]",8
52631,"STARLINK-3794 [+]",47211,"RESURS O1 DEB [-]",8
46911,"LEMUR-2-JEREMIAH [+]",47504,"ION SCV-002 [+]",7
45685,"STARLINK-1402 [P]",48276,"STARLINK-2567 [+]",7
44966,"STARLINK-1088 [P]",55035,"FLOCK 4Y-3 [+]",7
44393,"D-STAR ONE (LIGHTSAT) [+]",50363,"COSMOS 1408 DEB [-]",7
40144,"TIANTUO 2 [+]",43694,"PROXIMA I [+]",7
53458,"YUNYAO-1 08 [+]",16611,"COSMOS 1733 [?]",7
41877,"RESOURCESAT-2A [+]",29774,"FENGYUN 1C DEB [-]",7
46232,"GAOFEN-9 05 [+]",15331,"COSMOS 1602 [?]",7
43758,"MINXSS-2 [+]",20510,"OKEAN-2 [?]",7
49738,"STARLINK-3143 [+]",28855,"PSLV DEB [-]",7
47656,"STARLINK-2040 [+]",43821,"FLOCK 3S-2 [-]",7
57897,"STARLINK-30474 [+]",28809,"KIRARI (OICETS) [?]",7
43694,"PROXIMA I [+]",47318,"OBJECT K [-]",7
51890,"STARLINK-3519 [+]",18650,"SL-8 DEB [-]",7
57188,"HORS 1 [+]",57894,"STARLINK-30443 [+]",7
51789,"STARLINK-3639 [+]",43789,"IRVINE02 [-]",7
43805,"AL-FARABI 2 [+]",46366,"STARLINK-1651 [+]",7
48911,"YAM-2 [+]",52907,"YAOGAN-35 02A [+]",7
49262,"CS2 [+]",54811,"STARLINK-5424 [+]",6
47932,"CAS500-1 [+]",55022,"FLOCK 4Y-22 [+]",6
46488,"GONETS-M 19 [+]",11302,"COSMOS 1087 [?]",6
44966,"STARLINK-1088 [P]",55079,"FLOCK 4Y-13 [+]",6
51847,"STRIX-BETA [+]",54791,"STARLINK-5425 [+]",6
55035,"FLOCK 4Y-3 [+]",55057,"FLOCK 4Y-35 [+]",6
55021,"FLOCK 4Y-32 [+]",55023,"FLOCK 4Y-18 [+]",6
51649,"ONEWEB-0461 [+]",9701,"DELTA 1 DEB [-]",6
43932,"RAPIS-1 [+]",50621,"COSMOS 1408 DEB [-]",6
46507,"NETSAT-2 [+]",53415,"STARLINK-4479 [+]",6
56967,"MUSAT1 [+]",14147,"COSMOS 1470 [?]",6
54369,"ASTROCAST-0302 [+]",16611,"COSMOS 1733 [?]",6
49068,"SUNSTORM [+]",56205,"FACSAT-2 [+]",6
51000,"FLOCK 4X-30 [+]",51015,"FLOCK 4X-12 [+]",6
57123,"STARLINK-6154 [+]",23606,"CERISE [?]",6
46496,"ICEYE-X7 [+]",48462,"STARLINK-2683 [+]",6
43881,"D-STAR ONE (SPARROW) [+]",48592,"STARLINK-2249 [+]",6
49049,"TIANHUI 1-04 [+]",54374,"YAOGAN-36 03B [+]",6
47901,"STARLINK-2361 [+]",41339,"CHUBUSAT-3 [-]",6
57857,"STARLINK-30424 [+]",48253,"OBJECT F [-]",6
46267,"TYVAK-0172 [+]",55932,"STARLINK-5848 [+]",6
43792,"ESEO [+]",55657,"STARLINK-5328 [+]",6
57840,"STARLINK-30285 [+]",48513,"RESURS O1 DEB [-]",6
56521,"STARLINK-6333 [+]",39450,"SL-24 DEB [-]",5
46699,"STARLINK-1799 [+]",40038,"FLOCK 1C-5 [-]",5
44859,"IHOPSAT-TD [+]",57088,"STARLINK-6257 [+]",5
43679,"STARS-AO [+]",54228,"ELECTRON KICK STAGE R/B [-]",5
47161,"STARLINK-1876 [+]",30637,"FENGYUN 1C DEB [-]",5
48268,"PLEIADES NEO 3 [+]",40073,"DUMMY SAT [-]",5
46913,"R2 [+]",48655,"STARLINK-2657 [+]",5
44874,"CHEOPS [+]",35809,"IRIDIUM 33 DEB [-]",5
56943,"NUSAT-40 (C SHOEMAKER) [+]",16881,"COSMOS 1766 [?]",5
46034,"STARLINK-1557 [+]",57325,"OBJECT AZ [-]",5
57194,"SITRO-AIS 7 (FARTUSHNIY) [+]",57907,"STARLINK-30482 [+]",5
37168,"SBSS (USA 216) [+]",43261,"CZ-4C DEB [-]",5
47487,"ASTROCAST-0103 [+]",55026,"FLOCK 4Y-19 [+]",5
47510,"ICEYE-X8 [+]",56186,"GHGSAT-C8 [+]",5
39073,"GLOBALSTAR M093 [+]",24729,"GONETS-D1 5 [-]",5
55350,"STARLINK-5668 [+]",41337,"ASTRO-H (HITOMI) [-]",5
52024,"SPACEBEE-113 [+]",52517,"COSMOS 1408 DEB [-]",5
56361,"STARLINK-5550 [+]",49318,"OBJECT D [?]",5
53282,"STARLINK-4164 [+]",28855,"PSLV DEB [-]",5
53887,"STARLINK-5029 [+]",57208,"SITRO-AIS 11 (SHEFFER) [+]",5
57813,"STARLINK-30403 [+]",36290,"CZ-4B DEB [-]",5
55015,"BIRKELAND [+]",15331,"COSMOS 1602 [?]",5
46495,"SALSAT [+]",53826,"STARLINK-4756 [+]",5
42959,"IRIDIUM 119 [+]",33942,"COSMOS 2251 DEB [-]",5
43679,"STARS-AO [+]",55644,"STARLINK-5502 [+]",5
56291,"STARLINK-30113 [+]",29753,"FENGYUN 1C DEB [-]",5
46907,"KSM1-D [+]",47979,"STARLINK-2325 [+]",5
56213,"SAPLING GIGANTEUM [+]",58048,"STARLINK-30554 [+]",5
56353,"STARLINK-5874 [+]",49318,"OBJECT D [?]",5
57186,"CSTP 1.2 (STC 1.2) [+]",57196,"HORS 2 [+]",5
40069,"METEOR-M 2 [P]",57794,"TIANQI-23 [+]",5
46544,"STARLINK-1694 [+]",47607,"STARLINK-2025 [P]",5
52477,"STARLINK-3860 [+]",56743,"NEXTSAT-2 [+]",4
43817,"SPACEBEE-5 [+]",47685,"FLOCK 4S-47 [+]",4
39490,"COSMOS 2493 (SKRL-756 1) [+]",32784,"NTS (CANX-6) [-]",4
48041,"BCCSAT-1 [+]",48953,"ARTHUR-1 [+]",4
55954,"STARLINK-5892 [+]",31417,"FENGYUN 1C DEB [-]",4
43876,"KANOPUS-V 5 [+]",55045,"NUSAT-34 (AMELIA EARHART) [+]",4
44859,"IHOPSAT-TD [+]",54836,"STARLINK-5384 [+]",4
43677,"TEN-KOH [+]",40022,"PACE [-]",4
51151,"STARLINK-3361 [+]",57201,"SITRO-AIS 9 (SHCHUKIN) [+]",4
46384,"STARLINK-1771 [+]",57206,"OBJECT AS [+]",4
43764,"POLAR SCOUT KODIAK [+]",54202,"STARLINK-5205 [+]",4
