OBJECT_NAME_1,OBJECT_NAME_2,MAX_PROB,OperationalStatus_1,OperationalStatus_2
"ARCSAT-1 [+]","ASTROCAST-0303 [+]",0.2262,+],+]
"STARLINK-5138 [+]","OBJECT AS [+]",0.07823,+],+]
"STARLINK-4552 [+]","OBJECT AL [+]",0.02583,+],+]
"HORYU-4 [+]","STARLINK-5414 [+]",0.01205,+],+]
"STARLINK-3920 [+]","TROPICS-05 [+]",0.005484,+],+]
"STARLINK-4015 [+]","OBJECT AL [+]",0.005094,+],+]
"MOVE-II [+]","STARLINK-3806 [+]",0.003648,+],+]
"HIBER-2 [+]","STARLINK-6071 [+]",0.00205,+],+]
"AL-FARABI 2 [+]","STARLINK-5639 [+]",0.001996,+],+]
"ICEYE-X8 [+]","NUSAT-37 (JOAN CLARKE) [+]",0.001964,+],+]
"STARLINK-2443 [+]","AAC-HSI-SAT2 [+]",0.001837,+],+]
"STARLINK-5675 [+]","SITRO-AIS 6 (CHIRKIN) [+]",0.001836,+],+]
"CHUANGXIN 16B (CX-16B) [+]","STARLINK-5276 [+]",0.001502,+],+]
"BRIO [+]","STARLINK-2649 [+]",0.001327,+],+]
"CUPID [+]","STARLINK-3688 [+]",0.001202,+],+]
"STARLINK-4786 [+]","TELEOS-2 [+]",0.001185,+],+]
"STARLINK-5470 [+]","OBJECT AM [+]",0.001122,+],+]
"RISAT-2BR1 [+]","STARLINK-5777 [+]",0.001102,+],+]
"JILIN-1 10 [+]","STARLINK-2643 [+]",0.001062,+],+]
"STARLINK-3176 [+]","OBJECT D [+]",0.001062,+],+]
"STARLINK-4136 [+]","OBJECT C [+]",0.0008733,+],+]
"STARLINK-5445 [+]","OBJECT AB [+]",0.0008321,+],+]
"STARLINK-3446 [+]","OBJECT D [+]",0.0008063,+],+]
"SALSAT [+]","STARLINK-2118 [+]",0.0007213,+],+]
"D-STAR ONE (SPARROW) [+]","STARLINK-2170 [+]",0.000703,+],+]
"STARLINK-2447 [+]","OBJECT J [+]",0.0006998,+],+]
"STARLINK-2356 [+]","OBJECT AS [+]",0.0006916,+],+]
"JILIN-1 GAOFEN 3A [+]","STARLINK-1303 [+]",0.0006581,+],+]
"PROBA-1 [+]","STARLINK-5790 [+]",0.0006572,+],+]
"STARLINK-4206 [+]","HAWK-6B [+]",0.0006505,+],+]
"SEEDS II (CO-66) [+]","STARLINK-4313 [+]",0.000642,+],+]
"PROMETHEUS 2-3 [+]","STARLINK-1718 [+]",0.0006392,+],+]
"STARLINK-1524 [+]","CUPID [+]",0.0006146,+],+]
"LEMUR-2-GUSTAVO [+]","STARLINK-2407 [+]",0.0006002,+],+]
"HORYU-4 [+]","STARLINK-4516 [+]",0.0005912,+],+]
"STARLINK-1676 [+]","KSM1-A [+]",0.000588,+],+]
"STARLINK-5017 [+]","OBJECT E [+]",0.000586,+],+]
"STARLINK-5770 [+]","AVION KALUGA 650 [+]",0.0005723,+],+]
"SEEDS II (CO-66) [+]","STARLINK-4356 [+]",0.0005456,+],+]
"HORYU-4 [+]","STARLINK-4518 [+]",0.0005382,+],+]
"SPACEBEE-7 [+]","STARLINK-2683 [+]",0.0005171,+],+]
"BRIO [+]","STARLINK-1704 [+]",0.0005017,+],+]
"FALCONSAT-6 [+]","STARLINK-3909 [+]",0.000494,+],+]
"YAOGAN-36 02C [+]","SPACEBEE-162 [+]",0.0004709,+],+]
"STARLINK-5138 [+]","OBJECT AS [+]",0.0004531,+],+]
"ICEYE-X13 [+]","JILIN-1 GAOFEN 03D10 [+]",0.0004419,+],+]
"HST [+]","SKYKRAFT-1 [+]",0.0004275,+],+]
