OBJECT_NAME_1,OBJECT_NAME_2,MAX_PROB,OperationalStatus_1,OperationalStatus_2
"STARLINK-1292 [+]","STARLINK-2025 [P]",0.00466,+],P]
"STARLINK-5737 [+]","STARLINK-30089 [P]",0.0005044,+],P]
"STARLINK-5013 [+]","STARLINK-30089 [P]",0.0005018,+],P]
"SPAWAR-CAL-OR [+]","STARLINK-30108 [P]",0.0004864,+],P]
"STARLINK-5968 [+]","STARLINK-30095 [P]",0.0004155,+],P]
"STARLINK-4642 [+]","STARLINK-5080 [P]",0.0003366,+],P]
"SINE (SINDHUNETRA) [+]","STARLINK-3531 [P]",0.0003164,+],P]
"STARLINK-1140 [+]","STARLINK-2025 [P]",0.0002421,+],P]
"STARLINK-1142 [+]","STARLINK-2025 [P]",0.000231,+],P]
"STARLINK-1972 [+]","STARLINK-5080 [P]",0.0001851,+],P]
"HIBER-2 [+]","STARLINK-30089 [P]",0.0001549,+],P]
"STARLINK-1474 [+]","STARLINK-2025 [P]",0.0001496,+],P]
"KOMPSAT-3A [+]","STARLINK-4749 [P]",0.0001397,+],P]
"KANOPUS-V 3 [+]","STARLINK-1468 [P]",0.0001381,+],P]
"STARLINK-5203 [+]","STARLINK-5080 [P]",0.0001176,+],P]
"STARLINK-1532 [+]","STARLINK-2025 [P]",0.0001064,+],P]
"STARLINK-5737 [+]","STARLINK-30089 [P]",0.0000771,+],P]
"STARLINK-1693 [+]","STARLINK-2025 [P]",0.00007367,+],P]
"STARLINK-3388 [+]","STARLINK-5080 [P]",0.0000695,+],P]
"STARLINK-1140 [+]","STARLINK-2025 [P]",0.00006711,+],P]
"STARLINK-4615 [+]","STARLINK-5080 [P]",0.00006556,+],P]
"STARLINK-4191 [+]","STARLINK-5080 [P]",0.00006464,+],P]
"STARLINK-1532 [+]","STARLINK-2025 [P]",0.00006062,+],P]
"STARLINK-1990 [+]","STARLINK-2025 [P]",0.00005799,+],P]
"STARLINK-1009 [+]","STARLINK-1402 [P]",0.00005674,+],P]
"STARLINK-5238 [+]","STARLINK-5080 [P]",0.00005261,+],P]
"STARLINK-1255 [+]","STARLINK-1402 [P]",0.00005178,+],P]
"MOVE-IIB [+]","STARLINK-3531 [P]",0.00004933,+],P]
"STARLINK-5441 [+]","STARLINK-5080 [P]",0.00004813,+],P]
