NORAD_CAT_ID_1,OBJECT_NAME_1,DSE_1,NORAD_CAT_ID_2,OBJECT_NAME_2,DSE_2,TCA,TCA_RANGE,TCA_RELATIVE_SPEED,MAX_PROB,DILUTION
55141,"ONEWEB-0533 [+]",0.439,3214,"SCOUT A DEB [-]",6.054,"2023-11-09 00:01:05.009",0.458,7.362,0.00005974,0.123
43774,"HIBER-2 [+]",0.89,56132,"STARLINK-6071 [+]",0.484,"2023-11-09 00:21:41.832",0.121,10.595,0.00205,0.038
48467,"STARLINK-2659 [+]",0.454,39928,"PEGASUS DEB [-]",2.104,"2023-11-09 00:26:47.041",0.488,12.622,0.0001043,0.184
56154,"OBJECT B [+]",0.275,56156,"OBJECT D [+]",0.275,"2023-11-09 00:28:31.606",0.34,0,0.0001785,0.037
51793,"STARLINK-3633 [+]",0.881,20032,"COSMOS 970 DEB [-]",0.414,"2023-11-09 00:29:12.052",0.226,8.837,0.0006554,0.063
56153,"OBJECT A [+]",0.295,56156,"OBJECT D [+]",0.295,"2023-11-09 00:57:14.886",0.385,0,0.0003709,0.026
56154,"OBJECT B [+]",0.295,56156,"OBJECT D [+]",0.295,"2023-11-09 00:57:28.646",0.333,0,0.0001785,0.037
45746,"STARLINK-1504 [+]",0.466,40036,"FLOCK 1C-6 [-]",0.564,"2023-11-09 01:18:08.128",0.445,14.695,0.00006646,0.257
56153,"OBJECT A [+]",0.319,56156,"OBJECT D [+]",0.319,"2023-11-09 01:32:07.069",0.42,0,0.0003709,0.026
52944,"RECURVE [+]",0.688,5300,"SL-8 DEB [-]",0.622,"2023-11-09 01:36:34.645",0.268,4.596,0.00005902,0.066
56153,"OBJECT A [+]",0.341,56155,"OBJECT C [+]",0.341,"2023-11-09 02:03:18.687",0.167,0.002,0.0001573,0.039
47510,"ICEYE-X8 [+]",0.285,56203,"NUSAT-37 (JOAN CLARKE) [+]",0.338,"2023-11-09 02:03:37.867",0.03,14.872,0.001964,0.018
56154,"OBJECT B [+]",0.342,56156,"OBJECT D [+]",0.342,"2023-11-09 02:05:19.548",0.325,0,0.0001785,0.037
56154,"OBJECT B [+]",0.36,56156,"OBJECT D [+]",0.36,"2023-11-09 02:31:00.888",0.317,0,0.0001785,0.037
56153,"OBJECT A [+]",0.36,56156,"OBJECT D [+]",0.36,"2023-11-09 02:31:09.796",0.399,0,0.0003709,0.026
48684,"STARLINK-2741 [+]",0.373,5154,"THORAD AGENA D DEB [-]",0.592,"2023-11-09 02:41:09.940",0.417,14.478,0.00009931,0.226
56153,"OBJECT A [+]",0.386,56156,"OBJECT D [+]",0.386,"2023-11-09 03:08:35.768",0.425,0,0.0003709,0.026
46565,"STARLINK-1735 [+]",0.721,54441,"CZ-6A DEB [-]",2.328,"2023-11-09 03:10:33.383",0.354,7.606,0.0002787,0.095
56153,"OBJECT A [+]",0.407,56155,"OBJECT C [+]",0.407,"2023-11-09 03:38:28.764",0.22,0.002,0.00009152,0.052
45782,"STARLINK-1498 [P]",0.652,55100,"SPACEBEE-158 [+]",1.046,"2023-11-09 03:40:23.788",0.355,5.967,0.0002926,0.09
56154,"OBJECT B [+]",0.409,56156,"OBJECT D [+]",0.409,"2023-11-09 03:42:04.835",0.31,0,0.0001785,0.037
53847,"STARLINK-4777 [+]",0.32,19046,"SL-3 R/B [-]",0.639,"2023-11-09 04:03:55.835",0.305,13.93,0.0003183,0.143
56154,"OBJECT B [+]",0.425,56156,"OBJECT D [+]",0.425,"2023-11-09 04:04:36.771",0.3,0,0.0001785,0.037
56153,"OBJECT A [+]",0.425,56156,"OBJECT D [+]",0.425,"2023-11-09 04:04:54.267",0.412,0,0.0003709,0.026
56153,"OBJECT A [+]",0.453,56156,"OBJECT D [+]",0.453,"2023-11-09 04:45:14.342",0.427,0,0.0003709,0.026
56154,"OBJECT B [+]",0.476,56156,"OBJECT D [+]",0.476,"2023-11-09 05:18:48.043",0.293,0,0.0001785,0.037
55340,"STARLINK-5675 [+]",0.95,57192,"SITRO-AIS 6 (CHIRKIN) [+]",0.473,"2023-11-09 05:37:53.703",0.116,12.637,0.001836,0.044
56154,"OBJECT B [+]",0.49,56156,"OBJECT D [+]",0.49,"2023-11-09 05:38:16.518",0.284,0,0.0001785,0.037
56153,"OBJECT A [+]",0.49,56156,"OBJECT D [+]",0.49,"2023-11-09 05:38:28.255",0.425,0,0.0003709,0.026
56153,"OBJECT A [+]",0.52,56156,"OBJECT D [+]",0.52,"2023-11-09 06:22:02.803",0.427,0,0.0003709,0.026
56154,"OBJECT B [+]",0.544,56156,"OBJECT D [+]",0.544,"2023-11-09 06:55:29.848",0.278,0,0.0001785,0.037
56153,"OBJECT A [+]",0.555,56156,"OBJECT D [+]",0.555,"2023-11-09 07:11:51.232",0.435,0,0.0003709,0.026
56154,"OBJECT B [+]",0.555,56156,"OBJECT D [+]",0.555,"2023-11-09 07:12:00.803",0.268,0,0.0001785,0.037
43808,"POLAR SCOUT YUKON [+]",0.833,53674,"STARLINK-4620 [+]",0.732,"2023-11-09 07:38:58.638",0.482,15.013,0.00006099,0.319
56153,"OBJECT A [+]",0.588,56156,"OBJECT D [+]",0.588,"2023-11-09 07:59:01.756",0.422,0,0.0003709,0.026
48403,"STARLINK-2561 [+]",1.221,53817,"ELECTRON KICK STAGE R/B [-]",0.669,"2023-11-09 08:00:11.674",0.29,14.513,0.0002044,0.158
43885,"LEMUR-2-GUSTAVO [+]",1.037,45731,"STARLINK-1465 [+]",0.649,"2023-11-09 08:06:05.016",0.391,13.116,0.0001501,0.16
43758,"MINXSS-2 [+]",0.988,47820,"STARLINK-2403 [+]",0.845,"2023-11-09 08:21:31.375",0.385,12.385,0.0001712,0.142
51989,"STARLINK-3642 [+]",1.152,19573,"COSMOS 1975 [?]",1.087,"2023-11-09 08:29:03.343",0.304,4.539,0.0004127,0.075
56154,"OBJECT B [+]",0.611,56156,"OBJECT D [+]",0.611,"2023-11-09 08:32:11.529",0.263,0,0.0001785,0.037
56354,"STARLINK-5877 [+]",0.816,27255,"PSLV DEB [-]",2.069,"2023-11-09 08:37:16.287",0.451,1.91,0.0001937,0.107
56153,"OBJECT A [+]",0.62,56156,"OBJECT D [+]",0.62,"2023-11-09 08:45:01.934",0.442,0,0.0003709,0.026
56154,"OBJECT B [+]",0.62,56156,"OBJECT D [+]",0.62,"2023-11-09 08:45:51.059",0.254,0,0.0001785,0.037
45064,"STARLINK-1133 [+]",0.577,53815,"STRIX-1 [+]",0.589,"2023-11-09 09:08:08.617",0.359,13.332,0.0001724,0.151
46047,"STARLINK-1524 [+]",0.605,49264,"CUPID [+]",0.67,"2023-11-09 09:10:09.238",0.241,7.139,0.0006146,0.063
56153,"OBJECT A [+]",0.655,56156,"OBJECT D [+]",0.655,"2023-11-09 09:36:12.604",0.412,0,0.0003709,0.026
53284,"STARLINK-4172 [+]",0.852,55326,"HAWK-6C [+]",0.98,"2023-11-09 10:00:25.422",0.321,3.366,0.0003764,0.077
56153,"OBJECT A [+]",0.684,56156,"OBJECT D [+]",0.684,"2023-11-09 10:17:57.959",0.444,0,0.0003709,0.026
56154,"OBJECT B [+]",0.685,56156,"OBJECT D [+]",0.685,"2023-11-09 10:19:49.865",0.243,0,0.0001785,0.037
51981,"STARLINK-3635 [+]",1.284,57043,"OBJECT AR [+]",0.867,"2023-11-09 10:56:12.901",0.292,14.428,0.0002073,0.155
56026,"STARLINK-5770 [+]",0.934,57195,"AVION KALUGA 650 [+]",0.667,"2023-11-09 11:12:15.020",0.249,7.138,0.0005723,0.066
56153,"OBJECT A [+]",0.723,56156,"OBJECT D [+]",0.723,"2023-11-09 11:13:37.875",0.394,0,0.0003709,0.026
45754,"STARLINK-1477 [+]",0.798,46493,"DEKART [+]",1.025,"2023-11-09 11:38:02.917",0.205,14.667,0.0003907,0.117
56153,"OBJECT A [+]",0.748,56156,"OBJECT D [+]",0.748,"2023-11-09 11:50:34.719",0.439,0,0.0003709,0.026
56154,"OBJECT B [+]",0.751,56156,"OBJECT D [+]",0.751,"2023-11-09 11:54:01.363",0.234,0,0.0001785,0.037
49113,"PAYLOAD B [+]",0.701,54983,"CZ-6A DEB [-]",1.588,"2023-11-09 12:03:16.775",0.125,14.891,0.00009622,0.087
56153,"OBJECT A [+]",0.791,56156,"OBJECT D [+]",0.791,"2023-11-09 12:51:21.983",0.366,0,0.0003709,0.026
56153,"OBJECT A [+]",0.801,56154,"OBJECT B [+]",0.801,"2023-11-09 13:05:52.095",0.463,0.001,0.00004549,0.074
56153,"OBJECT A [+]",0.812,56156,"OBJECT D [+]",0.812,"2023-11-09 13:22:42.590",0.423,0,0.0003709,0.026
56154,"OBJECT B [+]",0.817,56156,"OBJECT D [+]",0.817,"2023-11-09 13:28:30.791",0.229,0,0.0001785,0.037
28414,"SHIJIAN-6 01B (SJ-6 01B) [+]",0.796,46810,"TIANQI-6 [+]",0.984,"2023-11-09 13:36:42.978",0.258,11.79,0.00004493,0.09
52665,"STARLINK-4064 [+]",1.162,9704,"SL-8 DEB [-]",1.228,"2023-11-09 13:53:39.021",0.105,2.82,0.003551,0.025
51138,"STARLINK-3177 [+]",0.771,45884,"FREGAT DEB [-]",2.016,"2023-11-09 13:56:56.328",0.349,9.938,0.0002612,0.103
56153,"OBJECT A [+]",0.859,56156,"OBJECT D [+]",0.859,"2023-11-09 14:29:32.779",0.325,0,0.0003709,0.026
56153,"OBJECT A [+]",0.868,56154,"OBJECT B [+]",0.868,"2023-11-09 14:43:16.861",0.413,0.001,0.00004549,0.074
56153,"OBJECT A [+]",0.876,56156,"OBJECT D [+]",0.876,"2023-11-09 14:53:54.287",0.39,0,0.0003709,0.026
39769,"RISING 2 [+]",0.864,16327,"SL-14 R/B [-]",0.774,"2023-11-09 14:55:47.615",0.2,5.351,0.0002468,0.05
56154,"OBJECT B [+]",0.882,56156,"OBJECT D [+]",0.882,"2023-11-09 15:03:22.964",0.228,0,0.0001785,0.037
56332,"STARLINK-5093 [+]",1.051,43067,"H-2A R/B [-]",1.298,"2023-11-09 15:08:51.433",0.371,8.999,0.0002384,0.106
53592,"STARLINK-4672 [+]",0.922,56753,"TROPICS-03 [+]",1.495,"2023-11-09 15:17:59.721",0.487,9.264,0.0001368,0.14
56153,"OBJECT A [+]",0.928,56156,"OBJECT D [+]",0.928,"2023-11-09 16:08:23.183",0.265,0,0.0003709,0.026
56132,"STARLINK-6071 [+]",1.148,29509,"CZ-4B DEB [-]",1.563,"2023-11-09 16:17:07.215",0.392,11.225,0.0001853,0.129
56153,"OBJECT A [+]",0.936,56154,"OBJECT B [+]",0.936,"2023-11-09 16:20:43.017",0.361,0.001,0.00004549,0.074
56154,"OBJECT B [+]",0.949,56156,"OBJECT D [+]",0.949,"2023-11-09 16:38:40.645",0.23,0,0.0001785,0.037
56222,"DISCO-1 [+]",1.44,43836,"OBJECT F [-]",0.888,"2023-11-09 16:50:59.209",0.127,15.11,0.00009764,0.084
45206,"STARLINK-1209 [+]",1.522,39099,"DELTA 1 DEB [-]",1.386,"2023-11-09 16:58:52.675",0.383,9.042,0.0002242,0.109
44859,"IHOPSAT-TD [+]",1.25,57088,"STARLINK-6257 [+]",1.173,"2023-11-09 17:09:58.157",0.102,5.709,0.0003955,0.026
35685,"NANOSAT 1B [+]",1.561,49141,"STARLINK-3093 [+]",1.085,"2023-11-09 17:41:28.247",0.447,12.745,0.0001214,0.173
56153,"OBJECT A [+]",0.996,56156,"OBJECT D [+]",0.996,"2023-11-09 17:47:39.349",0.183,0,0.0003709,0.026
52673,"STARLINK-3976 [+]",1.289,57323,"OBJECT AX [-]",0.961,"2023-11-09 17:54:41.923",0.226,5.887,0.0007253,0.057
56153,"OBJECT A [+]",1.003,56154,"OBJECT B [+]",1.003,"2023-11-09 17:57:31.648",0.321,0.001,0.00004549,0.074
56154,"OBJECT B [+]",1.015,56156,"OBJECT D [+]",1.015,"2023-11-09 18:14:23.391",0.236,0,0.0001785,0.037
52635,"STARLINK-3978 [+]",1.301,27255,"PSLV DEB [-]",2.512,"2023-11-09 19:14:42.744",0.195,14.32,0.0004796,0.1
45227,"STARLINK-1221 [+]",1.628,46907,"KSM1-D [+]",1.191,"2023-11-09 19:15:54.347",0.3,10.523,0.0003338,0.093
52626,"STARLINK-3990 [+]",0.981,33505,"SL-14 R/B [-]",1.38,"2023-11-09 19:18:53.078",0.392,6.901,0.0002336,0.102
56153,"OBJECT A [+]",1.064,56156,"OBJECT D [+]",1.064,"2023-11-09 19:25:03.534",0.109,0,0.0003709,0.026
47856,"YAOGAN-31 L [+]",0.983,21284,"DELTA 1 DEB [-]",1.524,"2023-11-09 19:31:01.120",0.125,12.918,0.0001571,0.053
56153,"OBJECT A [+]",1.07,56154,"OBJECT B [+]",1.07,"2023-11-09 19:33:32.601",0.31,0.001,0.00004549,0.074
