OBJECT_NAME_1,OBJECT_NAME_2,TCA
"STARLINK-4374 [+]","COSMOS 2251 DEB [-]","2023-11-09 00:00:39.774"
"STARLINK-5815 [+]","ANSER-FLW1 [+]","2023-11-09 00:03:55.988"
"STARLINK-3255 [+]","COSMOS 375 DEB [-]","2023-11-09 00:04:09.912"
"STARLINK-1882 [+]","VESTA-1 [-]","2023-11-09 00:04:34.163"
"STARLINK-5527 [+]","COSMOS 374 DEB [-]","2023-11-09 00:06:05.416"
"STARLINK-5261 [+]","COSMOS 2251 DEB [-]","2023-11-09 00:06:57.768"
"STARLINK-5671 [+]","SL-8 DEB [-]","2023-11-09 00:07:04.231"
"STARLINK-2624 [+]","FENGYUN 1C DEB [-]","2023-11-09 00:07:42.069"
"STARLINK-4765 [+]","OBJECT X [+]","2023-11-09 00:08:10.502"
"STARLINK-30247 [+]","PEGASUS DEB [-]","2023-11-09 00:08:18.576"
"STARLINK-3255 [+]","COSMOS 1408 DEB [-]","2023-11-09 00:10:14.877"
"STARLINK-4587 [+]","COSMOS 1408 DEB [-]","2023-11-09 00:10:53.372"
"STARLINK-1155 [P]","OBJECT Y [-]","2023-11-09 00:12:54.891"
"STARLINK-6179 [+]","SITRO-AIS 11 (SHEFFER) [+]","2023-11-09 00:14:38.358"
"STARLINK-5134 [+]","NANOZOND 1 (RS49S) [+]","2023-11-09 00:15:29.236"
"STARLINK-5357 [+]","SL-8 DEB [-]","2023-11-09 00:15:51.382"
"STARLINK-3746 [+]","SL-6 R/B(2) [-]","2023-11-09 00:16:50.345"
"STARLINK-2133 [+]","FREGAT DEB [-]","2023-11-09 00:17:15.245"
"STARLINK-5996 [+]","CZ-4B DEB [-]","2023-11-09 00:19:00.021"
"STARLINK-3784 [+]","FENGYUN 1C DEB [-]","2023-11-09 00:19:00.201"
"STARLINK-1997 [+]","FENGYUN 1C DEB [-]","2023-11-09 00:19:18.787"
"STARLINK-3615 [+]","STRATOSAT-TK 1 (RS52S) [+]","2023-11-09 00:19:43.743"
"STARLINK-6122 [+]","CZ-3C DEB [-]","2023-11-09 00:20:28.462"
"STARLINK-3980 [+]","OBJECT Q [+]","2023-11-09 00:21:40.619"
"STARLINK-3880 [+]","HORS 1 [+]","2023-11-09 00:21:52.888"
"STARLINK-5168 [+]","COSMOS 374 DEB [-]","2023-11-09 00:22:46.076"
"STARLINK-5545 [+]","MINOTAUR 4 DEB [-]","2023-11-09 00:23:27.171"
"STARLINK-5516 [+]","THORAD AGENA D DEB [-]","2023-11-09 00:24:17.748"
"STARLINK-2659 [+]","PEGASUS DEB [-]","2023-11-09 00:26:47.041"
"STARLINK-4543 [+]","FENGYUN 1C DEB [-]","2023-11-09 00:27:23.357"
"STARLINK-3762 [+]","OBJECT D [+]","2023-11-09 00:27:51.125"
"STARLINK-1011 [+]","SALSAT [+]","2023-11-09 00:28:36.633"
"STARLINK-5997 [+]","CSC-1 [+]","2023-11-09 00:28:54.597"
"STARLINK-3633 [+]","COSMOS 970 DEB [-]","2023-11-09 00:29:12.052"
"STARLINK-1201 [+]","FENGYUN 1C DEB [-]","2023-11-09 00:29:46.047"
"STARLINK-5640 [+]","FENGYUN 1C DEB [-]","2023-11-09 00:30:15.649"
"STARLINK-3660 [+]","OBJECT AZ [-]","2023-11-09 00:30:58.990"
"STARLINK-4398 [+]","FENGYUN 1C DEB [-]","2023-11-09 00:32:01.268"
"STARLINK-1780 [+]","OBJECT J [+]","2023-11-09 00:32:50.015"
"STARLINK-5815 [+]","CZ-2C R/B [-]","2023-11-09 00:33:43.938"
"STARLINK-5591 [+]","SL-14 DEB [-]","2023-11-09 00:33:55.369"
"STARLINK-5811 [+]","CZ-6A DEB [-]","2023-11-09 00:34:55.091"
"STARLINK-5225 [+]","COSMOS 2251 DEB [-]","2023-11-09 00:36:57.345"
"STARLINK-1689 [+]","SITRO-AIS 12 (SMIRENNIY) [+]","2023-11-09 00:37:40.867"
"STARLINK-6186 [+]","COSMOS 375 DEB [-]","2023-11-09 00:38:04.638"
"STARLINK-3873 [+]","NEXTSAT-2 [+]","2023-11-09 00:38:24.478"
"STARLINK-3912 [+]","OBJECT A [+]","2023-11-09 00:40:35.244"
"STARLINK-2533 [+]","KIRARI (OICETS) [?]","2023-11-09 00:41:43.109"
"STARLINK-5552 [+]","ICON [-]","2023-11-09 00:42:31.432"
"STARLINK-30379 [+]","THOR ABLESTAR DEB [-]","2023-11-09 00:42:37.104"
"STARLINK-1079 [+]","OBJECT D [+]","2023-11-09 00:44:34.877"
"STARLINK-3767 [+]","OBJECT R [+]","2023-11-09 00:44:54.879"
"STARLINK-4306 [+]","SL-8 DEB [-]","2023-11-09 00:45:13.432"
"STARLINK-30385 [+]","HETE-2 [-]","2023-11-09 00:45:36.497"
"STARLINK-5849 [+]","ATLAS 28E DEB [-]","2023-11-09 00:47:03.680"
"STARLINK-2754 [+]","UNKNOWN [-]","2023-11-09 00:51:03.614"
"STARLINK-5119 [+]","SITRO-AIS 11 (SHEFFER) [+]","2023-11-09 00:52:34.841"
"STARLINK-4627 [+]","FENGYUN 1C DEB [-]","2023-11-09 00:53:13.719"
"STARLINK-5615 [+]","COSMOS 1275 DEB [-]","2023-11-09 00:53:30.972"
"STARLINK-2455 [+]","OBJECT AL [+]","2023-11-09 00:54:22.853"
"STARLINK-4310 [+]","CZ-4B DEB [-]","2023-11-09 00:54:30.467"
"STARLINK-4703 [+]","SITRO-AIS 11 (SHEFFER) [+]","2023-11-09 00:56:09.051"
"STARLINK-1862 [+]","RAISE 2 [+]","2023-11-09 00:56:23.886"
"STARLINK-30445 [+]","COSMOS 2251 DEB [-]","2023-11-09 00:56:47.231"
"STARLINK-5122 [+]","OBJECT G [+]","2023-11-09 00:59:20.612"
"STARLINK-1396 [P]","TES [-]","2023-11-09 01:00:12.444"
"STARLINK-5772 [+]","COSMOS 252 DEB [-]","2023-11-09 01:01:22.150"
"STARLINK-3247 [+]","FENGYUN 1C DEB [-]","2023-11-09 01:02:40.611"
"STARLINK-1012 [+]","FLOCK 3S-3 [-]","2023-11-09 01:05:51.143"
"STARLINK-6321 [+]","OBJECT BS [-]","2023-11-09 01:06:51.944"
"STARLINK-5147 [+]","CZ-4B DEB [-]","2023-11-09 01:07:37.529"
"STARLINK-5285 [+]","ANSER-FLW2 [+]","2023-11-09 01:07:55.575"
"STARLINK-1792 [+]","OBJECT V [+]","2023-11-09 01:08:41.827"
"STARLINK-5619 [+]","NESS [+]","2023-11-09 01:11:24.395"
"STARLINK-1305 [+]","COSMOS 2251 DEB [-]","2023-11-09 01:11:31.509"
"STARLINK-1527 [+]","ION SCV-010 [+]","2023-11-09 01:12:14.078"
"STARLINK-3073 [+]","NESS [+]","2023-11-09 01:12:31.448"
"STARLINK-1907 [+]","STRIX-1 [+]","2023-11-09 01:13:25.425"
"STARLINK-30235 [+]","COSMOS 2251 DEB [-]","2023-11-09 01:13:34.116"
"STARLINK-4708 [+]","HAWK-6A [+]","2023-11-09 01:13:35.100"
"STARLINK-5266 [+]","FLOCK 1C-4 [-]","2023-11-09 01:16:02.042"
"STARLINK-4413 [+]","CZ-2D R/B [-]","2023-11-09 01:17:22.533"
"STARLINK-3921 [+]","SITRO-AIS 9 (SHCHUKIN) [+]","2023-11-09 01:18:00.410"
"STARLINK-1504 [+]","FLOCK 1C-6 [-]","2023-11-09 01:18:08.128"
"STARLINK-3534 [+]","CZ-6A DEB [-]","2023-11-09 01:21:43.650"
"STARLINK-30580 [+]","SZ-16 MODULE [+]","2023-11-09 01:22:14.846"
"STARLINK-1303 [+]","CZ-4B R/B [-]","2023-11-09 01:22:57.509"
"STARLINK-3930 [+]","OBJECT Y [+]","2023-11-09 01:23:01.676"
"STARLINK-5142 [+]","COSMOS 2251 DEB [-]","2023-11-09 01:24:59.134"
"STARLINK-4315 [+]","OBJECT BS [-]","2023-11-09 01:25:30.871"
"STARLINK-5009 [+]","FENGYUN 1C DEB [-]","2023-11-09 01:25:40.784"
"STARLINK-3374 [+]","UTMN 2 (RS27S) [+]","2023-11-09 01:26:11.725"
"STARLINK-4387 [+]","CZ-6A DEB [-]","2023-11-09 01:29:11.701"
"STARLINK-1106 [+]","COSMOS 1707 [?]","2023-11-09 01:30:01.268"
"STARLINK-5004 [+]","FENGYUN 1C DEB [-]","2023-11-09 01:30:19.873"
"STARLINK-3877 [+]","OBJECT C [+]","2023-11-09 01:33:07.613"
"STARLINK-4622 [+]","OBJECT C [+]","2023-11-09 01:36:19.263"
"STARLINK-5502 [+]","OBJECT BS [-]","2023-11-09 01:38:47.042"
"STARLINK-1121 [+]","FLOCK 4S-15 [+]","2023-11-09 01:39:26.381"
"STARLINK-30196 [+]","SL-16 DEB [-]","2023-11-09 01:40:36.221"
"STARLINK-3781 [+]","DICE-F [-]","2023-11-09 01:42:54.028"
"STARLINK-1323 [+]","SL-14 DEB [-]","2023-11-09 01:46:10.842"
"STARLINK-4023 [+]","AAC-HSI-SAT2 [+]","2023-11-09 01:46:29.661"
"STARLINK-1980 [+]","SITRO-AIS 10 (BURDAEV) [+]","2023-11-09 01:47:48.628"
"STARLINK-2742 [+]","FENGYUN 1C DEB [-]","2023-11-09 01:47:48.809"
"STARLINK-5919 [+]","FENGYUN 1C DEB [-]","2023-11-09 01:48:46.674"
"STARLINK-2188 [+]","FLOCK 3S-2 [-]","2023-11-09 01:50:49.778"
"STARLINK-4770 [+]","PSLV R/B [-]","2023-11-09 01:52:04.454"
"STARLINK-4791 [+]","OBJECT AX [-]","2023-11-09 01:53:07.375"
"STARLINK-5663 [+]","SL-8 DEB [-]","2023-11-09 01:54:07.066"
"STARLINK-6376 [+]","THORAD AGENA D DEB [-]","2023-11-09 01:54:36.758"
"STARLINK-4072 [+]","OBJECT AE [+]","2023-11-09 01:54:48.659"
"STARLINK-30202 [+]","SL-3 R/B [-]","2023-11-09 01:55:25.341"
"STARLINK-5824 [+]","FLOCK 1C-6 [-]","2023-11-09 01:57:28.945"
"STARLINK-5168 [+]","COSMOS 374 DEB [-]","2023-11-09 01:58:11.510"
"STARLINK-2590 [+]","OBJECT F [-]","2023-11-09 01:58:18.649"
"STARLINK-3045 [+]","CSC-1 [+]","2023-11-09 01:58:34.811"
"STARLINK-5323 [+]","DELTA 2 R/B(1) [-]","2023-11-09 01:58:48.516"
"STARLINK-4360 [+]","H-2A R/B [-]","2023-11-09 01:59:34.636"
"STARLINK-1722 [+]","NETSAT-1 [+]","2023-11-09 02:00:16.417"
"STARLINK-3935 [+]","FLOCK 1C-8 [-]","2023-11-09 02:00:43.586"
"STARLINK-5604 [+]","LEMUR-2-DEVERILL-M-T [+]","2023-11-09 02:01:45.774"
"STARLINK-4100 [+]","FLOCK 1C-3 [-]","2023-11-09 02:02:15.966"
"STARLINK-1327 [+]","OBJECT H [+]","2023-11-09 02:02:35.443"
"STARLINK-3320 [+]","COSMOS 921 DEB [-]","2023-11-09 02:03:17.435"
"STARLINK-2217 [+]","COSMOS 2251 DEB [-]","2023-11-09 02:03:22.417"
"STARLINK-5249 [+]","OBJECT Q [+]","2023-11-09 02:03:44.767"
"STARLINK-3810 [+]","FLOCK 1C-3 [-]","2023-11-09 02:04:40.873"
"STARLINK-1498 [P]","SPACEBEE-158 [+]","2023-11-09 02:05:55.118"
"STARLINK-1574 [+]","OBJECT V [+]","2023-11-09 02:06:55.634"
"STARLINK-2482 [+]","PEGASUS DEB [-]","2023-11-09 02:08:29.997"
"STARLINK-1498 [P]","YAOGAN-36 03A [+]","2023-11-09 02:10:38.485"
"STARLINK-5135 [+]","FENGYUN 1C DEB [-]","2023-11-09 02:11:05.930"
